graph_row_type[Text](Row Type),graph_item_name[Text](Item Name),graph_src_vertex_name[Text](Source Vertex Name),graph_src_vertex_id[Text](Source Vertex Id),graph_dst_vertex_name[Text](Destination Vertex Name),graph_dst_vertex_id[Text](Destination Vertex Id),common_vertex_label[Text](Label),common_id[Text](Id),common_name[Text](Name),common_summary[Text](Summary),movie_release_year[Integer](Release Year),movie_genres[Text](Genres),movie_revenue[Double](Revenue),principal_birth_year[Integer](Birth Year),principal_professions[Text](Professions),principal_is_male[Boolean](Is Male),principal_height[Integer](Height),principal_eye_color[Text](Eye Color),common_vertex_src_id[Text](Vertex Src Id),common_vertex_dst_id[Text](Vertex Dst Id),common_type[Text](Edge Type),contribution[Text](Contribution),employment_year[Integer](Employment Year),character_name[Text](Character Name)
V,Principal,,,,,,nm0000448,Lance Henriksen,"An intense, versatile actor as adept at playing clean-cut FBI agents as he is psychotic motorcycle-gang leaders, who can go from portraying soulless, murderous vampires to burned-out, world-weary homicide detectives, Lance Henriksen has starred in a variety of films that have allowed him to stretch his talents just about as far as an actor could possibly hope. He played ""Awful Knoffel"" in the TNT original movie Evel Knievel (2004), directed by John Badham and executive produced by Mel Gibson. Henriksen portrayed ""Awful Knoffel"" in this project based on the life of the famed daredevil, played by George Eads. Henriksen starred for three seasons (1996-1999) on Millennium (1996), Fox-TV's critically acclaimed series created by Chris Carter (The X-Files (1993)). His performance as Frank Black, a retired FBI agent who has the ability to get inside the minds of killers, landed him three consecutive Golden Globe nominations for ""Best Performance by a Lead Actor in a Drama Series"" and a People's Choice Award nomination for ""Favorite New TV Male Star"".",,,,1940,actor,true,70,Brown,,,,,,
V,Principal,,,,,,nm0001663,Paul Reiser,"As a seasoned actor, writer, producer, and stand-up comedian, Paul Reiser continues to add to his list of accomplishments. In addition to co-creating and starring on the critically-acclaimed NBC series, Mad About You (1992), which garnered him Emmy, Golden Globe, American Comedy Award and Screen Actors Guild nominations for Best Actor in a Comedy Series, his successes also include his book, ""Couplehood"", which sold over two million copies and reached the number one spot on ""The New York Times"" best-seller list, and ""Babyhood"", his follow-up book, which features his trademark humorous take on the adventures of being a first-time father, which also made ""The New York Times"" best-seller list. He also wrote follow-up bestseller Familyhood.",,,,1956,actor,true,70,Brown,,,,,,
V,Principal,,,,,,nm0001021,Veronica Cartwright,"Born in Bristol, England, Veronica is the older sister of the popular child actress Angela Cartwright. In her early career, Veronica was cast in a number of popular movies such as William Wyler's The Children's Hour (1961), Spencer's Mountain (1963) and Alfred Hitchcock's The Birds (1963). As such, she was cast as ""Jemima Boone"" in the popular television series Daniel Boone (1964), which ran from 1964 to 66. Her career after ""Daniel Boone"" may have been influenced by Hitchcock, since she appeared in both the remake of Invasion of the Body Snatchers (1978) and the horror classic Alien (1979). On television, she appeared twice as Lumpy's younger sister, ""Violet Rutherford"" and once as ""Peggy MacIntosh"" on Leave It to Beaver (1957) and had a small role in the television movie Still the Beaver (1983).",,,,1949,actress,false,66,Blue,,,,,,
E,Actor,Principal,nm0000008,Movie,tt0068646,,pr000001,,,,,,,,,,,,,Actor,Lead,1971,Don Vito Corleone
E,Actor,Principal,nm0000199,Movie,tt0068646,,pr000002,,,,,,,,,,,,,Actor,Supporting,1971,Michael Corleone
E,Actor,Principal,nm0001735,Movie,tt0068646,,pr000003,,,,,,,,,,,,,Actor,Supporting,1971,Connie Corleone
E,Composer,Principal,nm0000065,Movie,tt0068646,,pr000004,,,,,,,,,,,,,Composer,Lead,1971,Composer
E,Director,Principal,nm0000338,Movie,tt0068646,,pr000005,,,,,,,,,,,,,Director,Lead,1971,Director
E,Actor,Principal,nm0000380,Movie,tt0068646,,pr000006,,,,,,,,,,,,,Actor,Supporting,1971,Tom Hagen
E,Actor,Principal,nm0000380,Movie,tt0078788,,pr000007,,,,,,,,,,,,,Actor,Supporting,1978,Lieutenant Colonel Bill Kilgore
E,Actor,Principal,nm0000380,Movie,tt0118632,,pr000008,,,,,,,,,,,,,Actor,Lead,1996,The Apostle E.F.
E,Actor,Principal,nm0000380,Movie,tt0316356,,pr000009,,,,,,,,,,,,,Actor,Co-Lead,2002,Boss Spearman
E,Actor,Principal,nm0000126,Movie,tt0316356,,pr000010,,,,,,,,,,,,,Actor,Co-Lead,2002,Charley Waite
E,Director,Principal,nm0000126,Movie,tt0316356,,pr000011,,,,,,,,,,,,,Director,Lead,2002,Director
E,Actor,Principal,nm0000126,Movie,tt0099348,,pr000012,,,,,,,,,,,,,Actor,Lead,1989,Lieutenant John Dunbar
E,Actor,Principal,nm0000126,Movie,tt0102798,,pr000013,,,,,,,,,,,,,Actor,Lead,1990,Robin of Locksley
E,Actor,Principal,nm0000126,Movie,tt0103855,,pr000014,,,,,,,,,,,,,Actor,Co-Lead,1991,Frank Farmer
E,Director,Principal,nm0000126,Movie,tt0103855,,pr000015,,,,,,,,,,,,,Director,Lead,1991,Director
E,Actor,Principal,nm0001365,Movie,tt0103855,,pr000016,,,,,,,,,,,,,Actor,Co-Lead,1991,Rachel Marron
E,Singer,Principal,nm0001365,Movie,tt0103855,,pr000017,,,,,,,,,,,,,Singer,Lead,1991,Rachel Marron
E,Actor,Principal,nm0000126,Movie,tt0052522,,pr000018,,,,,,,,,,,,,Actor,Supporting,1986,Eliot Ness
E,Actor,Principal,nm0000125,Movie,tt0052522,,pr000019,,,,,,,,,,,,,Actor,Lead,1986,Jim Malone
E,Director,Principal,nm0000361,Movie,tt0052522,,pr000020,,,,,,,,,,,,,Director,Lead,1986,Director
E,Actor,Principal,nm0000412,Movie,tt0052522,,pr000021,,,,,,,,,,,,,Actor,Supporting,1986,George Stone
E,Actor,Principal,nm0000134,Movie,tt0052522,,pr000022,,,,,,,,,,,,,Actor,Co-Lead,1986,Al Capone
E,Actor,Principal,nm0000134,Movie,tt0068646,,pr000023,,,,,,,,,,,,,Actor,Supporting,1971,Vito Corleone
E,Actor,Principal,nm0000129,Movie,tt0060009,,pr000024,,,,,,,,,,,,,Actor,Lead,1995,Ethan Hunt
E,Producer,Principal,nm0000129,Movie,tt0060009,,pr000025,,,,,,,,,,,,,Producer,Lead,1995,Producer
E,Director,Principal,nm0000361,Movie,tt0060009,,pr000026,,,,,,,,,,,,,Director,Lead,1995,Director
E,Actor,Principal,nm0000685,Movie,tt0060009,,pr000027,,,,,,,,,,,,,Actor,Supporting,1995,Jim Phelps
E,Composer,Principal,nm0000384,Movie,tt0060009,,pr000028,,,,,,,,,,,,,Composer,Lead,1995,Composer
E,Actor,Principal,nm0000129,Movie,tt0790724,,pr000029,,,,,,,,,,,,,Actor,Lead,2011,Jack Reacher
E,Actor,Principal,nm0000380,Movie,tt0790724,,pr000030,,,,,,,,,,,,,Actor,Supporting,2011,Cash
E,Actor,Principal,nm0000129,Movie,tt1631867,,pr000031,,,,,,,,,,,,,Actor,Co-Lead,2013,Cage
E,Actor,Principal,nm1289434,Movie,tt1631867,,pr000032,,,,,,,,,,,,,Actor,Co-Lead,2013,Rita
E,Actor,Principal,nm0000200,Movie,tt1631867,,pr000033,,,,,,,,,,,,,Actor,Supporting,2013,Master Sergeant Farell
E,Composer,Principal,nm0065100,Movie,tt1631867,,pr000034,,,,,,,,,,,,,Composer,Lead,2013,Composer
E,Composer,Principal,nm0065100,Movie,tt0499544,,pr000035,,,,,,,,,,,,,Composer,Lead,2011,Composer
E,Actor,Principal,nm0447695,Movie,tt0499544,,pr000036,,,,,,,,,,,,,Actor,Lead,2011,Beca
E,Actor,Principal,nm2799457,Movie,tt0499544,,pr000037,,,,,,,,,,,,,Actor,Supporting,2011,Jesse
E,Actor,Principal,nm0811242,Movie,tt0499544,,pr000038,,,,,,,,,,,,,Actor,Supporting,2011,Chloe
E,Actor,Principal,nm2319871,Movie,tt0499544,,pr000039,,,,,,,,,,,,,Actor,Supporting,2011,Aubrey
E,Director,Principal,nm0000165,Movie,tt0112384,,pr000040,,,,,,,,,,,,,Director,Director,1994,Ron Howard
E,Actor,Principal,nm0000158,Movie,tt0112384,,pr000041,,,,,,,,,,,,,Actor,Co-Lead,1994,Jim Lovell
E,Actor,Principal,nm0000102,Movie,tt0112384,,pr000042,,,,,,,,,,,,,Actor,Co-Lead,1994,Jack Swigert
E,Actor,Principal,nm0000438,Movie,tt0112384,,pr000043,,,,,,,,,,,,,Actor,Supporting,1994,Gene Kranz
E,Actor,Principal,nm0000599,Movie,tt0112384,,pr000044,,,,,,,,,,,,,Actor,Supporting,1994,Marilyn Lovell
E,Actor,Principal,nm0000200,Movie,tt0112384,,pr000045,,,,,,,,,,,,,Actor,Co-Lead,1994,Fred Haise
E,Actor,Principal,nm0000200,Movie,tt0117998,,pr000046,,,,,,,,,,,,,Actor,Co-Lead,1995,Bill Harding
E,Actor,Principal,nm0000166,Movie,tt0117998,,pr000047,,,,,,,,,,,,,Actor,Co-Lead,1995,Dr. Jo Harding
E,Actor,Principal,nm0000415,Movie,tt0117998,,pr000048,,,,,,,,,,,,,Actor,Supporting,1995,Dr. Melissa Reeves
E,Writer,Principal,nm0000341,Movie,tt0117998,,pr000049,,,,,,,,,,,,,Writer,Writer,1995,Michael Crichton
E,Director,Principal,nm0000957,Movie,tt0117998,,pr000050,,,,,,,,,,,,,Director,Director,1995,Jan de Bont
E,Actor,Principal,nm0000450,Movie,tt0117998,,pr000051,,,,,,,,,,,,,Actor,Supporting,1995,Dustin Davis
E,Actor,Principal,nm0000200,Movie,tt0090605,,pr000052,,,,,,,,,,,,,Actor,Supporting,1978,Private Hudson
E,Director,Principal,nm0000116,Movie,tt0090605,,pr000053,,,,,,,,,,,,,Director,Director,1978,James Cameron
E,Writer,Principal,nm0000116,Movie,tt0090605,,pr000054,,,,,,,,,,,,,Writer,Writer,1977,Writer
E,Actor,Principal,nm0000244,Movie,tt0090605,,pr000055,,,,,,,,,,,,,Actor,Lead,1978,Ripley
E,Actor,Principal,nm0000448,Movie,tt0090605,,pr000056,,,,,,,,,,,,,Actor,Supporting,1978,Bishop
E,Actor,Principal,nm0001663,Movie,tt0090605,,pr000057,,,,,,,,,,,,,Actor,Supporting,1978,Burke
E,Actor,Principal,nm0001021,Movie,tt0090605,,pr000058,,,,,,,,,,,,,Actor,Supporting,1978,Lambert
